beta,seed,algorithm,metric,sha256,source
0.05,1024,LD_SGD,comm,b04b50d6535997fcb9ec2b24c37225231873b08bd1d01336825d6e449e3941a1,output/5/0.05/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_59_23_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_ldsgd
0.1,1,AutoRL_DFL_MM,test_acc,93a1f62532ea813e4915d2f5a2fb31b0ea9b44c80d22de7797dea77c086ca1a7,output/5/0.1/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_20_06_14_numuser10_clientSelection_autorl_tagseed1_beta0.1_autorl
0.1,1,AutoRL_DFL_MM,time,2c47efed4d900e1c68a503bd1febf71863a6ca19bded25cfaac780dcacc46bf0,output/5/0.1/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_20_06_14_numuser10_clientSelection_autorl_tagseed1_beta0.1_autorl
0.1,1,AutoRL_DFL_MM,comm,90bf331444d26cb3bec3937c7923a3d7e7c7e7017faaca387911eda278ed5730,output/5/0.1/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_20_06_14_numuser10_clientSelection_autorl_tagseed1_beta0.1_autorl
0.1,1,DFL,test_acc,bfa92c591a40e3536d017e37657a9791b50890e3a29a4a817653a85f48ca9d14,output/5/0.1/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfl
0.1,1,DFL,time,0b39a8c9c1f9263b0f79ff7fd83e8cb41a03d13df1d293370d58f6962edd1b4d,output/5/0.1/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfl
0.1,1,DFL,comm,21f322d02ed8859d48a82f5f92d570c2221c56db8de729e0c01561523122af33,output/5/0.1/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfl
0.1,1,DFL_MM,test_acc,dc460944b39625068891941d80fa6a522fb6d50373e144a2bec80a2d2725a55f,output/5/0.1/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_45_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dflmm
0.1,1,DFL_MM,time,822dd298ba68bb797e9a7ee1c1d705f3e6f3d3dcb93ef03be37f5da88b1fa178,output/5/0.1/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_45_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dflmm
0.1,1,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.1/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_45_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dflmm
0.1,1,DFedPGP,test_acc,239d7795a1e66f51c677159985c9b080f47560be058b0e76cb11699ceaeda1cf,output/5/0.1/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfedpgp
0.1,1,DFedPGP,time,f04077e3c8574e882233594d19141ee700793402573dc8d49512d57293897a58,output/5/0.1/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfedpgp
0.1,1,DFedPGP,comm,8007e2931c992c8bf6485aba2a461b33c099ac244fb4ef2801624ceb8ca25131,output/5/0.1/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfedpgp
0.1,1,LD_SGD,test_acc,122776b25547c6744125f3bfd8f319a88e5a6822e92a46ca3e98c10089ee249f,output/5/0.1/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_ldsgd
0.1,1,LD_SGD,time,be785b65da858952043156e5ab78453693d7addf8082b49b429d26562a8318c9,output/5/0.1/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_ldsgd
0.1,1,LD_SGD,comm,f9d60fee0f821994f08b73e289945907f00930dedb8099a4685db559eae520aa,output/5/0.1/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_ldsgd
0.1,42,AutoRL_DFL_MM,test_acc,2decd979b618c76447b3206682bda3eafa76974d8d1612acd547a00abc6b5034,output/5/0.1/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.1_autorl
0.1,42,AutoRL_DFL_MM,time,1c9abee71d40de5fc4750cf0851e8db54da83cddf930adc6601f8b72641ef9c9,output/5/0.1/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.1_autorl
0.1,42,AutoRL_DFL_MM,comm,54798b12f70491f049bfa03b75b2b8c6b5b32abea5649e44eeb6772361a64381,output/5/0.1/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.1_autorl
0.1,42,DFL,test_acc,2b0f54c3c9f5ab246d90346a65a029df9f6b03ee0414f024a10984d3363ee7b3,output/5/0.1/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_04_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfl
0.1,42,DFL,time,ae92198306f41fbc8a08413ff538cc4d12ff37e3d7483efd753a10475c793419,output/5/0.1/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_04_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfl
0.1,42,DFL,comm,afc2a55422a63f0e831df39726d5aa7f4161f5b2553c84454fcc02759861e8cb,output/5/0.1/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_04_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfl
0.1,42,DFL_MM,test_acc,c2e89995508734a08959e696e35474733ae2c9964329bde3f302e53203d9325f,output/5/0.1/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dflmm
0.1,42,DFL_MM,time,c852953011821ad87d3a780dd35b4a430cf9b812a506ee780aa713a0b6abfab7,output/5/0.1/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dflmm
0.1,42,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.1/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dflmm
0.1,42,DFedPGP,test_acc,33359d1f3cc8efd6aee1b47ad915b6fc4e812fc570e8f5337e88c6eb8a19b1a1,output/5/0.1/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_06_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfedpgp
0.1,42,DFedPGP,time,5d4cce301c91a05bcbfe547fa3bb1627a4d944a412636080fb89b4a013574767,output/5/0.1/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_06_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfedpgp
0.1,42,DFedPGP,comm,f56a1f3c9f3bb1e48efb1dd595be65cc272bd4e5d90aa8139fe25b6dcb8a6ee7,output/5/0.1/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_06_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfedpgp
0.1,42,LD_SGD,test_acc,6299036c0d9f8edff2c03d036b1975f2a180f67eb7ab9513d02ba0ebdb931746,output/5/0.1/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_10_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_ldsgd
0.1,42,LD_SGD,time,c49c6bd9d08d7ab50b219f5d121fffb2d9de8d8088066b5f9e6e6793a8778c10,output/5/0.1/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_10_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_ldsgd
0.1,42,LD_SGD,comm,9110ad25db655b16b40d2f3ab1382737409383105ebcd1c9d3bc4b1a37f8820b,output/5/0.1/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_10_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_ldsgd
0.1,1024,AutoRL_DFL_MM,test_acc,1d43fbf0c416665e0185e47daeb536ac3194a6eea247460ce96887d35d47e44d,output/5/0.1/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_24_32_numuser10_clientSelection_autorl_tagseed1024_beta0.1_autorl
0.1,1024,AutoRL_DFL_MM,time,40b09a74a0b96a5682a093fcd2a0c5fb051d5f0ca6a0ab73d1b8ef7859eb64ae,output/5/0.1/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_24_32_numuser10_clientSelection_autorl_tagseed1024_beta0.1_autorl
0.1,1024,AutoRL_DFL_MM,comm,c776283a9bc689c0fdfb0005f63b7ad15025ca07258275f2a0cb2d17df170844,output/5/0.1/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_24_32_numuser10_clientSelection_autorl_tagseed1024_beta0.1_autorl
0.1,1024,DFL,test_acc,0a6effa7025343d0fdfbd41fc404031e53931833a7c44393ba0cfada927d0965,output/5/0.1/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_05_55_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfl
0.1,1024,DFL,time,0ba3236470e094d010c394b3c8dfad9b48c291540964bcdc778125c6a673ae4c,output/5/0.1/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_05_55_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfl
0.1,1024,DFL,comm,be382dd2a95fe4347f69e3be18703e74e74f6d19db94fd94ec2ed90b94853423,output/5/0.1/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_05_55_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfl
0.1,1024,DFL_MM,test_acc,6a28fb22d0717545917e4c2394f88bda996dbae7377321a9c4bdda71699c7232,output/5/0.1/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_02_05_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dflmm
0.1,1024,DFL_MM,time,ef66bb3ef777841c36e7979894fcfa022446042985c013a186f5c96a0cd5b448,output/5/0.1/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_02_05_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dflmm
0.1,1024,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.1/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_02_05_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dflmm
0.1,1024,DFedPGP,test_acc,05a344007513c9f767ac05a649595d197623a784cdd92714cb839d5bf3b7c9d1,output/5/0.1/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_22_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfedpgp
0.1,1024,DFedPGP,time,e6fb64d37cc12c700ce072cd174c32d18e654555ff0f6bf869fc09bc79ef4f84,output/5/0.1/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_22_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfedpgp
0.1,1024,DFedPGP,comm,86d2f75c0686e7258b476b67d304e107ca9d207a36b00a4a169a3889141685b3,output/5/0.1/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_22_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfedpgp
0.1,1024,LD_SGD,test_acc,42fc998a85a6da40afc44c0fa8f28c58d404ba6cee9d0b42403cfeabcf81b172,output/5/0.1/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_50_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_ldsgd
0.1,1024,LD_SGD,time,fe131d7dde5522a43e0dbbcb86567d2c604466de54acae32647ff2de76a370b3,output/5/0.1/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_50_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_ldsgd
0.1,1024,LD_SGD,comm,b04b50d6535997fcb9ec2b24c37225231873b08bd1d01336825d6e449e3941a1,output/5/0.1/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_50_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_ldsgd
0.5,1,AutoRL_DFL_MM,test_acc,a73ec88f8694dcd331081c202c052c8cf794952e854c5b91fc5a4f34430f353f,output/5/0.5/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_40_08_numuser10_clientSelection_autorl_tagseed1_beta0.5_autorl
0.5,1,AutoRL_DFL_MM,time,0557f5cc6b73e2007df919aa0f8ea9d6e29eae4f4541e0a4883bd16d8db4c8a0,output/5/0.5/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_40_08_numuser10_clientSelection_autorl_tagseed1_beta0.5_autorl
0.5,1,AutoRL_DFL_MM,comm,2e6fc7d997bdafd931677f3ca0eb1969ae5177f8b31ad0592a5362666c87db86,output/5/0.5/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_40_08_numuser10_clientSelection_autorl_tagseed1_beta0.5_autorl
0.5,1,DFL,test_acc,81b0848897fc2e6d079b0529f2021dd9aa89b4a96673f05ee19e0508cf25cc68,output/5/0.5/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfl
0.5,1,DFL,time,0b39a8c9c1f9263b0f79ff7fd83e8cb41a03d13df1d293370d58f6962edd1b4d,output/5/0.5/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfl
0.5,1,DFL,comm,21f322d02ed8859d48a82f5f92d570c2221c56db8de729e0c01561523122af33,output/5/0.5/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfl
0.5,1,DFL_MM,test_acc,f5690b4d871041b06017417f673ca6600acbd79b6ec40a622ea324e14fd2ea91,output/5/0.5/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_16_04_15_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dflmm
0.5,1,DFL_MM,time,bb2fdb4166a95c5dcfcfefb5de4f81805afbcc70d2d4bf0f24ccd89373719a94,output/5/0.5/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_16_04_15_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dflmm
0.5,1,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.5/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_16_04_15_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dflmm
0.5,1,DFedPGP,test_acc,8cb2228610bba66abd75823b993a545d327e58c7ffbad1d780e66ab0cf6cb1e7,output/5/0.5/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfedpgp
0.5,1,DFedPGP,time,f04077e3c8574e882233594d19141ee700793402573dc8d49512d57293897a58,output/5/0.5/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfedpgp
0.5,1,DFedPGP,comm,8007e2931c992c8bf6485aba2a461b33c099ac244fb4ef2801624ceb8ca25131,output/5/0.5/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfedpgp
0.5,1,LD_SGD,test_acc,15319555bf84c9ff395ea7f1cc1e51ef1cdfc8e0c5f8013c5d5896c9531e0bb6,output/5/0.5/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_ldsgd
0.5,1,LD_SGD,time,be785b65da858952043156e5ab78453693d7addf8082b49b429d26562a8318c9,output/5/0.5/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_ldsgd
0.5,1,LD_SGD,comm,f9d60fee0f821994f08b73e289945907f00930dedb8099a4685db559eae520aa,output/5/0.5/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_ldsgd
0.5,42,AutoRL_DFL_MM,test_acc,7af74ff95e34441112ce46bbf35bed173d49b08f15d0db5c820fa2f6ab4717e4,output/5/0.5/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_autorl_tagseed42_beta0.5_autorl
0.5,42,AutoRL_DFL_MM,time,37d2bcb4e7654dba909fd63358e2fce5073b2f451016e5e9a141c6e06d059dc4,output/5/0.5/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_autorl_tagseed42_beta0.5_autorl
0.5,42,AutoRL_DFL_MM,comm,5becb2105c10d75b65110f3567824fa27d3c3b529844493e53516514e68dbf42,output/5/0.5/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_autorl_tagseed42_beta0.5_autorl
0.5,42,DFL,test_acc,9738d5c9ae209c0c6dbf7ab40ac9757c693fbc35ba6d854a7f94b2a7b2ad6f13,output/5/0.5/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfl
0.5,42,DFL,time,ae92198306f41fbc8a08413ff538cc4d12ff37e3d7483efd753a10475c793419,output/5/0.5/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfl
0.5,42,DFL,comm,afc2a55422a63f0e831df39726d5aa7f4161f5b2553c84454fcc02759861e8cb,output/5/0.5/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfl
0.5,42,DFL_MM,test_acc,c515b72b970e2e86aa123e7cafbf016e3cd518977c9f4487ada211743f05a363,output/5/0.5/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dflmm
0.5,42,DFL_MM,time,553f9413be492c66a57dfc38b695fd4cc6d86814cb3ce87edda77c9b32cf4735,output/5/0.5/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dflmm
0.5,42,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.5/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dflmm
0.5,42,DFedPGP,test_acc,ae44d550879ed61f73114d687e88d5e91ac9813715730ae42b9f6b2bf09023e7,output/5/0.5/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_38_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfedpgp
0.5,42,DFedPGP,time,5d4cce301c91a05bcbfe547fa3bb1627a4d944a412636080fb89b4a013574767,output/5/0.5/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_38_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfedpgp
0.5,42,DFedPGP,comm,f56a1f3c9f3bb1e48efb1dd595be65cc272bd4e5d90aa8139fe25b6dcb8a6ee7,output/5/0.5/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_38_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfedpgp
0.5,42,LD_SGD,test_acc,9c8c2a06e4cd2d39db972a6ea9daad57d9fd52005b9809a37e0748f1566c0c42,output/5/0.5/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_58_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_ldsgd
0.5,42,LD_SGD,time,c49c6bd9d08d7ab50b219f5d121fffb2d9de8d8088066b5f9e6e6793a8778c10,output/5/0.5/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_58_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_ldsgd
0.5,42,LD_SGD,comm,9110ad25db655b16b40d2f3ab1382737409383105ebcd1c9d3bc4b1a37f8820b,output/5/0.5/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_58_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_ldsgd
0.5,1024,AutoRL_DFL_MM,test_acc,cb1a729ad0ae63376d2872d03522f0dd0f30292eb097d6419fb5492f33d715d8,output/5/0.5/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_52_12_numuser10_clientSelection_autorl_tagseed1024_beta0.5_autorl
0.5,1024,AutoRL_DFL_MM,time,8db498124a69d5398e43aa0eaa87d4288734433d62dd8ea004714fb2534365a6,output/5/0.5/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_52_12_numuser10_clientSelection_autorl_tagseed1024_beta0.5_autorl
0.5,1024,AutoRL_DFL_MM,comm,fe60b13432260490eece809422571baf03efcf57a5a7321450683da7938d7047,output/5/0.5/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_52_12_numuser10_clientSelection_autorl_tagseed1024_beta0.5_autorl
0.5,1024,DFL,test_acc,609d5508036b23d9617cb9a4c2a7755d7d0395beff672bfc3ba47f1caf1bb2c2,output/5/0.5/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_21_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfl
0.5,1024,DFL,time,0ba3236470e094d010c394b3c8dfad9b48c291540964bcdc778125c6a673ae4c,output/5/0.5/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_21_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfl
0.5,1024,DFL,comm,be382dd2a95fe4347f69e3be18703e74e74f6d19db94fd94ec2ed90b94853423,output/5/0.5/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_21_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfl
0.5,1024,DFL_MM,test_acc,f229eafa038ff216b62163ce1e875b9c659dbbaabbc4fb4cb79bc414a6b3bfe8,output/5/0.5/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_49_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dflmm
0.5,1024,DFL_MM,time,fd6baec820fb2dc22b98d9b532b18b4b904e7da51b6758875bd6eb7ae27e575b,output/5/0.5/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_49_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dflmm
0.5,1024,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.5/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_49_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dflmm
0.5,1024,DFedPGP,test_acc,7965ff81f342299e8b33c18ecaae8b1cf0650e91a21ef93ef0c0f54202d84e56,output/5/0.5/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_28_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfedpgp
0.5,1024,DFedPGP,time,e6fb64d37cc12c700ce072cd174c32d18e654555ff0f6bf869fc09bc79ef4f84,output/5/0.5/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_28_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfedpgp
0.5,1024,DFedPGP,comm,86d2f75c0686e7258b476b67d304e107ca9d207a36b00a4a169a3889141685b3,output/5/0.5/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_28_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfedpgp
0.5,1024,LD_SGD,test_acc,c5be2b983235e4ff530ea6b75e642a72595b45a40ea3220f7434b403f7a16c83,output/5/0.5/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_42_47_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_ldsgd
